id,time,url,tweet,replies,retweets,quotes,likes
9.09754e+17,2017-09-18 12:18:00,https://twitter.com/JoeBiden/status/909753607473569792,My new initiative at the Biden Institute will identify strategies for building a future of quality jobs: https://t.co/Y6B2q21nHF,160,964,94,6217
9.09756e+17,2017-09-18 12:28:00,https://twitter.com/JoeBiden/status/909755960826228737,Here's a path forward to choose a future that puts work first: https://t.co/Y6B2q21nHF,40,233,23,1408
9.09939e+17,2017-09-19 00:35:00,https://twitter.com/JoeBiden/status/909938968250200067,Just had the chance to see President Trump's golf swing tweet. Enough. This has to stop. Our children are watching.,12805,65665,5068,259696
9.10135e+17,2017-09-19 13:36:00,https://twitter.com/JoeBiden/status/910135409488867328,"#ItsOnUs is making great progress toward ending sexual assault, but today we face new challenges: https://t.co/gUdR13uYeY",103,895,49,3920
9.10497e+17,2017-09-20 13:32:00,https://twitter.com/JoeBiden/status/910496771222200320,Sending prayers to all who lost loved ones in the devastating earthquake. We are seeing the resilience and heart of the Mexican people.,263,7125,135,41694
9.10553e+17,2017-09-20 17:16:00,https://twitter.com/JoeBiden/status/910553249555664897,"On the new @UDBidenInst blog, @PennyPritzker, @Airbnb &amp; @LinkedIn share strategies to help American workers succeed: https://t.co/ZMPkwBcBsu",35,202,10,1138
9.10843e+17,2017-09-21 12:27:00,https://twitter.com/JoeBiden/status/910842948878848001,"@UDBidenInst @PennyPritzker @Airbnb @LinkedIn Following @UDBidenInstâs forum on work, @Airbnb's @bchesky writes how technology can empower people and work. More: https://t.co/DW3kD2vT8J",9,56,2,347
9.10847e+17,2017-09-21 12:44:00,https://twitter.com/JoeBiden/status/910847216692203521,"@UDBidenInst @PennyPritzker @Airbnb @LinkedIn On the @UDBidenInst blog, @LinkedIn's @allenb says better data &amp; mentoring can help workers find good jobs. More: https://t.co/ZHBjH0ySix",28,86,4,443
9.11334e+17,2017-09-22 20:59:00,https://twitter.com/JoeBiden/status/911334191803101184,"Today's Title IX decision is shameful, but the law is still the law. Colleges &amp; universities must honor obligations to students &amp; survivors.",237,5974,140,23420
9.12459e+17,2017-09-25 23:31:00,https://twitter.com/JoeBiden/status/912459460316188673,Beau fought to protect the most vulnerable among us. Thanks to my friend @barackobama for honoring his lifeâs work with the @BeauBidenFdn. https://t.co/oHAb6mc6fT,1609,16417,1298,83384
9.13099e+17,2017-09-27 17:53:00,https://twitter.com/JoeBiden/status/913099405682757632,"Southern Florida chose a proven leader and consensus builder yesterday. Congratulations to @Annette_Taddeo, Floridaâs newest State Senator.",58,901,25,8319
9.13467e+17,2017-09-28 18:15:00,https://twitter.com/JoeBiden/status/913467126475902976,"Steve Scaliseâs strength and resilience  inspire all of us. Good to see you back on the job, Steve.",97,666,24,8770
9.13531e+17,2017-09-28 22:30:00,https://twitter.com/JoeBiden/status/913531470001602565,"We Veeps stick together. Jill and I, and all of the Bidens, are with you, Julia. https://t.co/JP0c2wtrJ6",2312,74072,5773,445071
9.13754e+17,2017-09-29 13:16:00,https://twitter.com/JoeBiden/status/913754239272398848,"There is only one way to confront hatred and prejudice: head on. Well said, Lt. Gen Silveria. https://t.co/vQ2Aflo8Tx",635,11634,412,43934
9.13818e+17,2017-09-29 17:28:00,https://twitter.com/JoeBiden/status/913817691101782016,Now is not the time to go backwardâit's on all of us to stop sexual violence. https://t.co/EUh61Mjmit,305,2368,165,10098
9.14868e+17,2017-10-02 15:01:00,https://twitter.com/JoeBiden/status/914867985558491136,How long do we let gun violence tear families apart? Enough. Congress &amp; the WH should act now to save lives. There's no excuse for inaction.,4040,32517,1247,108723
9.14868e+17,2017-10-02 15:01:00,https://twitter.com/JoeBiden/status/914867837201764358,Appalled by the senseless loss of life in Las Vegas. Jill and I hold all those affected and grieving in our hearts.,213,5622,72,39727
9.15264e+17,2017-10-03 17:15:00,https://twitter.com/JoeBiden/status/915263945652436993,Barack &amp; Michelle: all of the Bidens send our love today on your 25th anniversary. May you have many more years of joy still to come.,632,15944,577,135734
9.15411e+17,2017-10-04 02:58:00,https://twitter.com/JoeBiden/status/915410713769840640,"Jalal Talabani was a champion of the US-Iraq partnership and a friend, whose unifying leadership will be missed.",49,447,15,3066
9.15752e+17,2017-10-05 01:33:00,https://twitter.com/JoeBiden/status/915751786606145537,"Spoke to my friend Jim Murren, so proud of the men and women at MGM Resorts. #VegasStrong",88,517,31,6161
9.18576e+17,2017-10-12 20:34:00,https://twitter.com/JoeBiden/status/918575560930013184,Proud to be at @RutgersU today with survivors &amp; activists working to change the campus culture on sexual assault. #ItsOnUs,287,2155,170,15565
9.18896e+17,2017-10-13 17:49:00,https://twitter.com/JoeBiden/status/918896418559053825,Unilaterally putting the Iran deal at risk does not isolate Iran. It isolates us: https://t.co/Cj1zu126bb,670,7201,245,23299
9.20101e+17,2017-10-17 01:34:00,https://twitter.com/JoeBiden/status/920100719650369536,John McCain is the real deal. A model public servant. And my dear friend. I was honored to present him with the 2017 #LibertyMedal tonight.,1406,12409,530,88422
