tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
838151936603926529,"Kudos Palm Coast STEM--new record for tallest self-supporting toy tower. 5k pieces, 14’1” tall using exclusive toy from Amazon seller Qubits https://t.co/argY3eHQay",en,Retweet,0,323,43,45,,2017-03-05 00:19:28,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/C6G2In7UwAAb9wM.jpg
836968132103262208,Very cool. 7-year-old boy starts own food pantry to help hungry kids https://t.co/vrjyByOAyX,en,Retweet,0,568,152,53,,2017-03-01 17:55:27,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",,http://amzn.to/2mF7kl1,,
836077114667446272,Congrats to Casey Affleck on his Best Actor win. So earned. #ManchesterByTheSea #Oscars @AmazonStudios @MBTSMovie,en,Tweet,0,1079,224,85,,2017-02-27 06:54:52,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#ManchesterByTheSea,#Oscars",,,
836072024577560584,Bravo to Kenny Lonergan on his well-deserved #Oscars win for Best Original Screenplay @AmazonStudios @MBTSMovie,en,Tweet,0,665,125,41,,2017-02-27 06:34:38,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#Oscars,,,
836049259430555648,#TheSalesman takes home the Oscar for Best Foreign Language Film. Well done Asghar Farhadi and team @AmazonStudios #Oscars,en,Tweet,1,1928,545,76,,2017-02-27 05:04:11,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#TheSalesman,#Oscars",,,
833113864669519872,Excited to share our urban campus with this terrific organization @FareStart https://t.co/SNJkMK6hz5,en,Tweet,1,810,178,75,,2017-02-19 02:39:58,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,https://twitter.com/seatimesbiz/status/832266754835505152,,
831586053915963393,"Love this story https://t.co/PwXQSZ9Xaw of not 1, but 4 couples, who met @ Amazon FC in KY. Love is in the air… Happy Valentine's day! https://t.co/rn3ctg98Qu",en,Tweet,4,704,99,61,,2017-02-14 21:29:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,http://www.wave3.com/story/34498260/4-couples-find-love-working-side-by-side-at-amazon,photo,https://pbs.twimg.com/media/C4pis9KUMAAD7QN.jpg
829098772416192512,"And on the NYPost article, if anybody knows how to get 20% margins in groceries, call me! :)",en,Tweet,0,1726,397,216,,2017-02-08 00:45:25,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
829054770308485120,".@nypost, whoever your anonymous sources are on this story https://t.co/VFyzGQcOAZ – they’ve mixed up their meds!",en,Tweet,0,1008,400,100,,2017-02-07 21:50:34,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,http://nypost.com/2017/02/05/inside-amazons-robot-run-supermarket-that-needs-just-3-human-workers/,,
827213980384964608,Buzz Aldrin dropped by Blue Origin HQ to say hi to the team yesterday. Thanks @TheRealBuzz! https://t.co/JiCdI77ij6,en,Tweet,2,1776,377,102,,2017-02-02 19:55:56,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/C3raeuHUEAE8FDo.jpg
826108318489784320,"Asghar Farhadi, @AmazonStudios understands and supports your decision not to attend the Oscars.",en,Retweet,0,431,123,50,,2017-01-30 18:42:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
817088724840239105,I agree we need a superhighway in space. https://t.co/iEVk7nP3aA,en,Tweet,0,1005,375,191,,2017-01-05 21:21:47,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,http://www.salon.com/2017/01/05/the-case-for-transportation-above-the-clouds-nasa-should-build-a-superhighway-in-space_partner/,,
809034847121350657,First-ever #AmazonPrimeAir customer delivery is in the books. 13 min—click to delivery. Check out the video: https://t.co/Xl8HiQMA1S https://t.co/5HGsmHvPlE,en,Tweet,1,6897,5591,370,,2016-12-14 15:58:33,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#AmazonPrimeAir,http://amzn.to/primeair,photo,https://pbs.twimg.com/media/CzpEbbzVQAEMKUE.jpg
807367277104377856,The Spheres’ first snow… thanks @mAColors for the great pic https://t.co/WnOtTAixjU,en,Tweet,1,1289,370,63,,2016-12-10 01:32:13,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/CzRX9KBUQAAR2Y3.jpg
806976159166570496,"Thank you, John Glenn. Godspeed.",en,Tweet,0,1521,354,55,,2016-12-08 23:38:03,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
806740517711003648,Late Late Show’s @JKCorden on Amazon Go – very funny! https://t.co/OOw3eV2l1x,en,Tweet,0,648,169,42,,2016-12-08 08:01:42,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,https://www.youtube.com/watch?v=hkMwfp8_dcs,,
804428649302634496,"So proud of my brother https://t.co/qIRKtbamXs, and here’s his TED talk https://t.co/tYCodFJXoe.",en,Tweet,1,692,154,51,,2016-12-01 22:55:10,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,"http://bit.ly/2gZMhKv,http://bit.ly/ObSDU6",,
799333890045317121,Love this TV commercial for Amazon Prime. Very proud of our ad team. https://t.co/E8ceXs4nte,en,Tweet,2,2812,1604,380,,2016-11-17 21:30:24,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,https://youtu.be/Ouu6LGGIWsc,,
799295335755436032,"Long wait is over… Clarkson, Hammond, May are back… #TheGrandTour premieres tonight in UK, US, DE, JP. And globally in Dec. https://t.co/dfQjGGuDFW",en,Tweet,0,7116,2723,307,,2016-11-17 18:57:12,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#TheGrandTour,,photo,https://pbs.twimg.com/media/CxepgJsUoAA8uOY.jpg
796729498075099136,Congratulations to @realDonaldTrump. I for one give him my most open mind and wish him great success in his service to the country.,en,Tweet,5,4440,1568,1120,,2016-11-10 17:01:29,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
792751030647689216,https://t.co/U6VjlywrI3,zxx,Tweet,0,639,138,64,,2016-10-30 17:32:28,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,http://www.huffingtonpost.com/entry/amazon-prime-costume-halloween_us_58137c8de4b064e1b4b1ff13,,
789613513102663680,Visiting Raisbeck Aviation High School today was so inspiring for me. Awesome students. https://t.co/zUGMXoNqLT,en,Tweet,0,426,73,53,,2016-10-22 02:45:06,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,https://twitter.com/SuptEnfield/status/789564039210815488,,
